hrs_estudio_dia,hrs_tv_dia,hrs_vjuegos_dia,hrs_actsocial_dia,hrs_universidad_dia,promedio,hrs_ejercicio_dia,hrs_dormir_dia,transporte_publico,comedor,becario,materias_repetidas,dificultad_licenciatura,pasion_licenciatura,oferta_laboral,Ssalario_estimado,hrs_trabajo,municipio,genero,edad,licenciatura,semestre,planes_egreso
4,0,4,2,7,8,0,8,1,1,1,0,Dificil,8,5,10 - 15 mil,10,Morelos,Hombre,18,Ingenieria de Software ,Semestre 2,Posgrado
0,0,0,2,4,9.6,4,8,0,0,1,0,Regular,8,9,mas de 20 mil,10,Orizaba,Hombre,21,Ingenieria de Software ,Semestre 8,Posgrado
4,0,0,1,7,8.2,0,6,1,1,1,0,Muy dificil,9,10,6 - 10 mil,12,Naucalpan,Mujer,19,Medicina Humana,Semestre 2,Posgrado
4,4,4,0,7,8.5,4,8,1,0,0,1,Dificil,9,9,15 - 20 mil,8,Huejuquilla el Alto,Mujer,20,Ingenieria de Software ,Semestre 4,Laborar
4,0,0,3,6,9.3,0,8,1,1,1,0,Regular,10,4,6 - 10 mil,8,Panfilo natera ,Mujer,22,Psicologia,Semestre 10,Posgrado
4,0,0,0,7,8,0,8,1,0,0,1,Muy dificil,10,10,mas de 20 mil,12,Zacatecas,Mujer,19,Medicina Humana,Semestre 2,Laborar
4,0,0,1,6,7.6,0,8,1,0,0,5,Dificil,7,9,mas de 20 mil,8,Jerez,Hombre,25,Ingenieria de Software ,Semestre 8,Laborar
6,4,0,0,7,7,0,6,1,1,0,0,Muy dificil,7,5,10 - 15 mil,10,Fresnillo,Mujer,18,Medicina Humana,Semestre 2,Posgrado
4,0,0,1,7,8.2,0,6,1,1,1,0,Muy dificil,9,10,6 - 10 mil,12,Naucalpan,Mujer,19,Medicina Humana,Semestre 2,Posgrado
0,4,4,5,4,8,4,8,1,0,1,0,Regular,8,9,10 - 15 mil,8,Zacatecas,Hombre,21,Ingenieria de Software ,Semestre 8,Posgrado
4,0,0,0,4,8.2,0,8,1,0,0,5,Dificil,8,8,6 - 10 mil,8,Panuco ,Hombre,21,Ingenieria de Software ,Semestre 4,Posgrado
4,4,0,4,7,8,0,6,0,1,0,1,Dificil,9,4,6 - 10 mil,10,Concepcion del Oro,Mujer,22,Medicina Humana,Semestre 8,Posgrado
6,4,0,1,6,8.5,4,6,1,1,0,0,Dificil,10,4,15 - 20 mil,12,Jerez,Hombre,24,Psicologia,Semestre 10,Posgrado
6,0,4,8,6,8,0,8,1,0,0,3,Dificil,9,8,10 - 15 mil,8,Jerez,Hombre,24,Ingenieria de Software ,Semestre 10,Laborar
4,4,0,6,7,9,0,8,1,1,0,0,Regular,10,8,mas de 20 mil,8,Guadalupe,Mujer,19,Psicologia,Semestre 2,Laborar
6,0,0,1,7,8,0,8,1,1,0,0,Dificil,8,5,10 - 15 mil,12,Zacatecas,Hombre,19,Medicina Humana,Semestre 2,Posgrado
4,0,0,1,6,8,0,10,0,0,0,0,Regular,10,10,15 - 20 mil,8,Guadalupe,Mujer,26,Psicologia,Semestre 10,Laborar
4,4,0,4,7,8.13,0,6,1,0,0,0,Dificil,9,8,15 - 20 mil,10,Ojocaliente,Hombre,23,Medicina Humana,Semestre 10,Posgrado
4,0,0,2,6,8.8,0,10,1,1,1,0,Dificil,10,5,6 - 10 mil,8,Panuco ,Mujer,23,Psicologia,Semestre 10,Laborar
4,0,0,3,6,9.8,4,8,1,1,1,0,Regular,10,10,mas de 20 mil,8,Jerez,Hombre,20,Ingenieria de Software ,Semestre 6,Laborar
4,2,0,2,8,9.3,4,6,0,0,0,0,Difêcil,10,10,mas de 20 mil,10,Tepetongo,Hombre,21,Quimico Farmaceutico Biologo,Semestre 8,Laborar
0,0,6,1,7,8.5,0,8,1,1,1,0,Dificil,7,10,15 - 20 mil,10,Fresnillo,Hombre,22,Ingenieria de Software ,Semestre 4,Posgrado
4,4,0,2,6,9,4,3,1,1,1,0,Regular,9,8,10 - 15 mil,8,Sombrerete,Mujer,23,Psicologia,Semestre 10,Laborar
4,0,0,3,7,8.8,0,6,1,1,1,0,Regular,8,8,10 - 15 mil,8,Zacatecas,Mujer,21,Psicologia,Semestre 2,Posgrado
6,4,0,0,7,9.4,4,8,1,0,0,0,Dificil,10,7,10 - 15 mil,8,Zacatecas,Mujer,22,Quimico Farmaceutico Biologo,Semestre 10,Posgrado
4,0,0,3,7,8,4,8,1,0,1,0,Dificil,9,8,mas de 20 mil,8,Jerez,Hombre,21,Ingenieria de Software ,Semestre 8,Laborar
6,0,4,3,0,9.6,4,8,1,1,0,0,Regular,10,7,6 - 10 mil,8,Jerez,Hombre,22,Ingenieria de Software ,Semestre 10,Posgrado
4,4,0,3,7,8.01,0,3,1,0,0,0,Dificil,4,9,15 - 20 mil,10,Guadalupe,Mujer,22,Medicina Humana,Semestre 10,Posgrado
4,4,0,3,6,8,0,8,1,0,1,0,Regular,10,5,6 - 10 mil,8,Jerez,Mujer,18,Psicologia,Semestre 1,Laborar
6,4,4,1,6,8,0,6,0,0,0,0,Regular,10,5,10 - 15 mil,10,Jerez,Hombre,24,Ingenieria de Software ,Semestre 9,Laborar
4,4,0,0,6,9,4,6,1,1,0,0,Dificil,9,5,15 - 20 mil,10,Fresnillo,Mujer,23,Quimico Farmaceutico Biologo,Semestre 10,Posgrado
4,4,4,4,7,7.2,4,6,0,0,0,0,Dificil,9,7,15 - 20 mil,12,Guadalupe,Hombre,22,Medicina Humana,Semestre 8,Posgrado
8,0,0,3,7,8.5,0,3,0,0,0,0,Dificil,10,4,15 - 20 mil,13,Zacatecas,Mujer,19,Medicina Humana,Semestre 2,Laborar
4,0,0,4,6,8.2,0,3,1,1,1,0,Regular,9,6,10 - 15 mil,8,Mazapil,Mujer,18,Psicologia,Semestre 2,Laborar
4,0,4,4,7,7,0,8,1,1,0,3,Regular,8,9,15 - 20 mil,10,Fresnillo,Hombre,22,Ingenieria de Software ,Semestre 2,Laborar
4,0,0,3,6,8.5,4,8,1,1,0,0,Regular,5,5,15 - 20 mil,8,Calera,Mujer,20,Psicologia,Semestre 4,Posgrado
